,Zipcode,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
59,94538,"67,474","4,177","3,670","3,265","3,298","3,426","7,074","7,883","5,257","5,632","4,007","4,890","4,143","3,568","2,197","1,266","1,375","1,082","1,264"
60,95117,"30,369","2,387","1,707","1,703","1,414","1,622","2,795","3,514","2,423","1,911","1,997","2,519","1,764","1,483","1,177",780,438,241,494
61,94085,"23,223","1,831","1,123",937,740,"1,738","3,635","3,218","2,298","1,628","1,423","1,090","1,110",880,741,382,195,113,141
62,94550,"50,374","3,145","2,876","3,734","2,387","2,141","2,486","3,492","3,075","3,325","3,527","4,119","4,268","3,208","2,550","2,106","1,682",957,"1,296"
63,95135,,,,,,,,,,,,,,,,,,,
64,95009,,,,,,,,,,,,,,,,,,,
65,95011,,,,,,,,,,,,,,,,,,,
66,94086,"50,477","4,065","2,934","2,085","1,506","2,389","7,541","6,825","4,908","3,350","2,647","2,937","2,357","1,721","1,607","1,023",955,615,"1,012"
67,95118,"32,421","2,403","2,386","2,498","1,781","1,286","1,551","2,016","2,933","2,454","2,610","2,057","2,331","1,882","1,214","1,013",933,518,555
68,95008,"46,352","2,881","2,751","2,575","2,082","2,149","3,885","3,705","3,801","3,482","3,375","3,154","3,224","3,190","1,829","1,368","1,041",853,"1,007"
69,95123,"68,766","4,817","4,211","4,371","3,629","3,662","4,753","6,105","5,444","4,508","5,018","4,787","5,059","3,920","2,836","2,169","1,582",930,965
70,94088,,,,,,,,,,,,,,,,,,,
71,94087,"56,668","3,710","4,369","3,877","2,686","2,130","3,268","4,405","4,915","4,874","4,529","3,479","3,495","2,805","2,234","1,685","1,591","1,247","1,369"
72,95138,"20,674",963,"1,536","1,482","1,332","1,148","1,012","1,387","1,367","1,521","1,993","2,051","1,753","1,061",859,418,306,319,166
73,94537,,,,,,,,,,,,,,,,,,,
74,95129,"39,741","2,036","2,598","2,876","2,411","1,873","2,388","2,366","2,589","3,570","3,645","2,916","2,787","2,178","1,471","1,201","1,018",983,835
75,94035,,,,,,,,,,,,,,,,,,,
76,95130,,,,,,,,,,,,,,,,,,,
77,95124,"51,455","3,129","4,022","3,801","3,154","2,287","2,078","3,049","4,735","3,873","4,222","3,903","3,330","3,093","2,273","1,556","1,255",802,893
78,95119,"10,027",679,506,822,594,628,527,625,596,684,644,861,707,664,554,425,227,158,126
79,94536,"74,837","5,287","4,986","4,640","3,797","3,208","5,493","6,723","6,817","5,602","4,747","5,025","4,738","3,660","3,069","2,241","1,699","1,495","1,610"
80,95015,,,,,,,,,,,,,,,,,,,
81,95139,"7,363",472,385,590,480,325,393,371,709,600,554,578,422,459,505,163,149,58,150
82,94043,"31,161","2,096","1,840","1,298","1,073","2,031","3,662","3,667","2,749","2,563","1,740","1,952","1,666","1,380","1,060",745,721,437,481
83,94041,"14,572",787,613,731,434,684,"2,179","2,060","1,565",764,935,649,777,864,464,328,261,241,236
84,94560,"47,171","2,721","2,619","2,926","2,891","2,757","3,890","4,103","3,339","3,450","3,306","2,976","3,466","2,689","1,999","1,217",973,"1,061",788
85,94039,,,,,,,,,,,,,,,,,,,
86,94042,,,,,,,,,,,,,,,,,,,
87,94040,"36,526","2,469","2,664","2,095","1,570","2,091","3,726","3,939","3,039","2,942","2,478","2,250","1,661","1,645","1,075",905,690,416,871
88,95013,,,,,,,,,,,,,,,,,,,
89,95032,"26,047","1,098","1,417","2,368","1,703",698,"1,098","1,079","1,590","1,782","2,173","2,464","2,140","1,666","1,173","1,100",836,758,904
90,94566,"45,893","1,801","2,874","3,737","3,535","1,592","2,258","1,938","2,375","3,401","3,982","4,475","3,858","2,939","1,924","1,945","1,202",998,"1,059"
91,95071,,,,,,,,,,,,,,,,,,,
92,95120,"38,122","1,486","2,637","3,146","2,891","1,501",953,"1,167","2,052","2,392","3,554","3,951","2,830","2,113","2,270","2,126","1,420","1,004",629
93,95031,,,,,,,,,,,,,,,,,,,
94,94023,,,,,,,,,,,,,,,,,,,
95,95030,"13,481",511,687,"1,200",825,455,334,305,578,617,"1,222","1,389","1,422",806,899,892,562,364,413
96,94024,"23,675","1,044","1,684","2,305","1,420",766,797,593,"1,035","1,506","2,236","1,880","1,980","1,823","1,299","1,110",999,627,571
97,94555,"38,478","2,508","3,549","2,684","1,773","1,653","2,101","3,221","3,707","3,531","2,647","2,402","2,190","1,830","2,037","1,065",768,436,376
98,94303,"48,244","3,255","3,694","3,750","3,642","3,217","3,918","3,247","3,315","3,478","3,923","3,351","2,276","1,974","1,598","1,338",753,759,756
99,95042,,,,,,,,,,,,,,,,,,,
100,94306,"27,435","1,441","1,568","2,015","1,775","1,397","1,810","1,367","1,839","2,088","1,954","1,735","2,005","1,380","1,272","1,334",819,854,782
101,95070,"31,196",760,"1,623","2,379","2,068",970,"1,104",874,"1,152","2,111","2,435","3,189","2,919","2,444","2,128","1,350","1,359","1,098","1,233"
102,94587,"74,722","3,922","4,018","3,823","3,737","4,692","6,357","6,482","5,789","4,885","4,762","4,947","4,962","4,425","4,177","2,944","2,053","1,156","1,591"
103,95014,"61,866","2,760","4,424","5,590","4,254","2,784","2,127","2,929","4,293","6,212","6,096","4,747","3,670","3,061","2,579","1,683","1,927","1,048","1,682"
104,95141,,,,,,,,,,,,,,,,,,,
105,94302,,,,,,,,,,,,,,,,,,,
106,94309,,,,,,,,,,,,,,,,,,,
107,94301,"16,582",601,949,"1,089",943,529,"1,021","1,175","1,056",947,"1,128","1,237",977,"1,199",984,810,689,563,685
108,94022,"19,406",606,"1,364","1,631","1,261",425,662,689,"1,005","1,216","1,684","1,532","1,484","1,143","1,220","1,206",921,686,671
109,94588,"37,253","1,757","2,596","3,377","2,460","1,453","1,557","2,211","2,814","3,023","3,262","2,897","2,310","2,389","1,460","1,399","1,121",643,524
110,94305,"16,397",382,209,257,"4,364","5,365","2,993",694,307,333,189,186,245,174,167,173,120,74,165
111,94304,"3,852",276,250,103,101,249,197,402,442,315,155,160,110,120,133,134,154,171,380
112,94544,"79,747","5,267","5,099","5,157","4,766","5,728","8,034","6,707","6,053","4,968","5,143","4,685","5,046","4,146","3,209","2,101","1,688",892,"1,058"
113,95033,"9,511",327,439,622,573,308,438,535,475,537,924,904,911,800,757,405,317,138,101
114,94542,"14,699",772,523,666,"1,321","1,883","1,235","1,279",867,713,838,980,824,852,772,427,378,207,162
115,94026,,,,,,,,,,,,,,,,,,,
116,95026,,,,,,,,,,,,,,,,,,,
117,95037,"51,994","3,411","3,239","4,347","3,164","2,680","2,863","2,849","3,441","3,599","3,606","3,861","4,057","3,144","2,724","2,255","1,237",636,881
118,94025,"43,392","3,218","2,971","3,372","2,116","2,290","2,504","2,923","3,125","2,882","3,509","2,840","2,692","2,766","1,871","1,358","1,066",933,956
119,95044,,,,,,,,,,,,,,,,,,,
120,94552,"14,938",673,830,"1,131",863,494,576,690,994,946,"1,103","1,394","1,131","1,398",943,699,434,348,291
121,94568,"55,608","4,017","4,770","3,797","2,461","2,177","3,683","4,959","5,586","5,359","4,195","3,690","2,910","2,929","1,944","1,254",838,599,440
122,94027,"7,415",322,364,639,677,425,202,149,293,444,590,540,572,536,567,420,147,155,373
123,94545,"32,724","1,515","1,770","1,973","1,523","2,208","2,725","2,538","2,251","2,271","2,313","2,210","2,449","2,074","1,556","1,147",912,606,683
124,95038,,,,,,,,,,,,,,,,,,,
125,94063,"34,867","2,490","2,142","2,525","2,132","2,578","3,353","3,623","3,110","2,214","2,095","2,193","1,749","1,548","1,228",747,563,329,248
126,94028,"7,125",198,507,504,600,206,81,162,229,474,518,756,545,415,423,375,363,353,416
127,94540,,,,,,,,,,,,,,,,,,,
128,94543,,,,,,,,,,,,,,,,,,,
129,94557,,,,,,,,,,,,,,,,,,,
130,94541,"65,928","4,345","3,881","3,979","3,370","4,386","4,793","5,868","6,010","3,804","5,001","4,114","4,633","3,660","2,600","1,962","1,229",997,"1,296"
131,94064,,,,,,,,,,,,,,,,,,,
132,94061,"39,023","2,513","2,424","1,935","2,202","2,490","3,255","3,258","3,433","2,570","2,963","2,693","2,318","1,889","1,534","1,217",623,627,"1,079"
133,95377,"32,091","1,569","1,996","3,127","3,185","2,121","1,884","1,922","2,609","2,101","3,065","2,501","1,829","1,375","1,067",747,508,182,303
134,94551,"47,227","3,828","3,203","3,316","2,313","2,149","3,121","3,868","3,942","3,355","3,724","3,531","3,580","2,516","1,958","1,162",764,572,325
135,94582,"42,576","2,143","3,841","4,497","3,468","1,648","1,320","1,646","3,089","5,041","4,998","3,907","2,272","1,286","1,173",876,780,362,229
136,94065,"12,461",683,"1,026",652,598,432,828,659,949,"1,046",999,"1,098","1,253",555,693,487,279,109,115
137,94580,"30,488","1,679","1,774","1,884","2,029","1,907","2,205","2,379","2,527","2,068","1,879","1,839","2,091","2,294","1,410","1,020",494,455,554
138,94070,"31,074","1,910","2,531","2,172","1,435","1,032","1,435","1,602","2,445","2,281","2,378","2,399","2,724","1,780","1,403","1,292",909,498,848
139,95376,"55,655","3,847","4,382","4,655","4,184","4,358","4,009","3,684","4,334","3,793","3,368","3,561","3,169","2,892","1,695","1,659",985,535,545
140,95046,"5,918",222,471,387,238,324,297,399,328,375,434,645,405,413,379,280,146,55,120
141,95006,"9,632",416,464,575,421,452,415,494,944,396,666,727,972,"1,060",792,462,234,69,73
142,94583,"35,231","2,165","2,332","2,827","2,586","1,273","1,519","1,978","2,446","3,047","2,826","3,012","2,561","1,991","1,649","1,162",865,419,573
143,94579,"21,883","1,011","1,227","1,080",939,"1,172","1,741","1,523","1,423","1,409","1,585","1,677","1,968","1,817","1,027",718,638,381,547
144,94578,"41,865","2,990","2,779","2,333","2,047","2,385","4,140","4,162","2,726","2,730","2,786","2,915","2,543","2,401","1,663","1,207",664,519,875
145,95391,"20,131","1,978","2,684","2,038","1,429","1,085",680,"1,176","2,118","2,095","1,213",859,769,931,410,420,88,47,111
146,94062,"28,423","1,466","1,549","1,975","1,287","1,233","1,498","2,229","1,279","1,679","2,213","2,195","2,344","2,144","1,807","1,383",931,544,667
147,95066,"15,341",789,835,800,945,"1,289",722,702,878,814,"1,128","1,275","1,227","1,189",869,733,568,210,368
148,94404,"36,985","2,088","2,463","2,076","1,501","1,231","2,700","3,203","2,833","3,086","2,450","2,248","2,523","2,086","2,071","1,650","1,200",789,787
149,94020,"1,697",97,61,15,30,66,95,157,82,150,88,51,221,172,172,124,34,13,69
150,95007,374,25,5,0,0,28,15,17,39,0,0,61,73,28,9,74,0,0,0
151,95005,"7,661",525,243,355,405,924,388,409,500,449,512,482,611,659,506,343,131,191,28
152,95018,"6,841",327,278,383,329,377,369,359,481,443,543,682,524,430,662,298,240,85,31
153,94002,"27,155","1,492","1,656","1,996","1,510","1,018","1,103","2,331","2,227","1,889","2,157","1,818","1,985","1,425","1,459","1,118",733,532,706
154,94506,"25,240","1,254","1,780","2,400","2,141",975,534,469,"1,126","1,952","2,553","2,430","2,117","1,584","1,467",847,669,381,561
155,94021,,,,,,,,,,,,,,,,,,,
156,94577,"47,682","2,490","2,186","2,599","2,643","3,012","3,036","3,567","3,134","3,328","3,309","3,774","3,665","3,385","2,467","1,716","1,404",785,"1,182"
157,95073,"11,013",504,565,569,"1,031",623,459,610,614,708,687,699,959,860,976,669,225,161,94
158,94546,"44,378","2,778","2,898","2,103","2,344","1,864","2,558","2,821","3,816","3,066","2,945","3,286","3,479","3,096","2,461","1,823","1,144",755,"1,141"
159,94403,"44,408","2,878","2,646","2,308","1,956","2,296","3,856","3,785","3,649","3,346","3,164","2,887","2,586","2,354","1,861","1,522","1,069","1,062","1,183"
160,95065,"8,491",350,515,520,472,537,341,521,543,636,694,512,614,494,717,295,335,161,234
161,95041,436,94,42,42,0,47,0,43,0,13,35,34,24,10,20,22,10,0,0
162,94526,"33,135","1,735","1,957","2,505","2,316","1,527",689,912,"1,547","2,277","2,770","2,925","2,894","2,303","2,308","1,451","1,189",821,"1,009"
163,95304,"14,282",450,642,"1,312","1,168","1,219",919,"1,047",864,814,"1,213","1,206",870,902,565,367,296,249,179
164,95003,"25,185",931,962,"1,521","1,725","1,401",870,865,"1,436","1,298","1,560","1,771","2,495","2,361","2,398","1,506",918,613,554
165,94514,"1,475",77,129,82,153,122,38,47,178,85,83,93,54,34,78,68,42,62,50
166,94402,"25,703","1,553","1,556","1,698","1,541","1,096","1,342","1,729","1,936","1,809","1,919","1,976","1,450","1,604","1,126",981,867,726,794
167,94603,"35,862","3,209","2,490","2,980","2,579","2,841","3,230","2,803","2,650","2,400","2,183","2,348","1,916","1,235",915,818,529,317,419
168,94401,"36,001","2,893","2,341","1,556","1,775","2,138","2,965","3,550","3,428","2,932","2,056","1,861","1,675","1,843","1,480","1,002",864,525,"1,117"
169,94497,,,,,,,,,,,,,,,,,,,
170,94605,"43,399","3,217","2,057","2,302","2,315","2,299","3,405","3,743","3,465","3,020","3,288","2,262","2,774","2,713","2,306","1,657","1,011",884,681
171,95387,636,0,82,79,98,31,32,0,53,55,50,25,48,18,0,23,24,0,18
172,94528,384,0,0,0,0,0,0,0,0,0,0,42,0,16,65,90,61,56,54
173,94621,"35,035","3,218","3,006","3,092","2,706","2,434","3,102","3,388","2,470","2,314","1,869","1,826","1,529","1,509","1,025",593,369,330,255
174,95378,,,,,,,,,,,,,,,,,,,
175,95060,"47,801","1,851","1,823","1,837","2,987","8,164","3,817","2,752","2,579","2,764","2,883","3,108","2,921","2,909","2,615","2,240","1,124",674,753
176,95020,"64,833","4,034","4,929","5,699","4,903","4,370","3,649","4,347","4,394","4,735","4,369","4,434","3,851","3,459","2,794","1,881","1,537",744,704
177,94074,,,,,,,,,,,,,,,,,,,
178,95001,,,,,,,,,,,,,,,,,,,
179,94507,"15,105",348,981,"1,207","1,216",548,409,261,398,884,"1,309",861,"1,642","1,416",935,"1,052",681,638,319
180,95363,"27,908","2,340","2,127","2,059","2,453","2,086","1,976","2,109","1,391","1,877","2,173","1,804","1,599","1,106","1,269",499,514,323,203
181,95010,"8,856",420,652,400,531,273,473,684,656,541,422,593,602,452,636,646,252,229,394
182,94613,855,6,5,0,493,286,51,4,6,0,0,0,3,0,1,0,0,0,0
183,94619,"24,112","1,586","1,509","1,247","1,144","1,017","2,060","1,385","1,741","1,980","1,803","1,498","1,759","1,254","1,708","1,168",618,377,258
184,94502,"14,701",865,997,955,635,681,677,866,"1,126",982,991,832,"1,077","1,462",997,514,509,302,233
185,95021,,,,,,,,,,,,,,,,,,,
186,94010,"42,760","2,395","2,846","3,111","2,645","1,288","2,243","2,552","2,897","3,443","3,502","3,088","2,871","2,711","2,091","1,648","1,545",820,"1,064"
187,94011,,,,,,,,,,,,,,,,,,,
188,95064,"10,486",46,85,65,"6,154","3,151",356,142,75,99,105,77,55,28,19,19,4,5,1
189,94060,926,13,49,74,31,39,49,28,28,59,126,136,50,165,66,10,0,0,3
190,95062,"36,737","1,486","1,679","1,779","1,843","2,977","3,569","2,468","2,515","2,377","2,339","2,124","2,773","2,626","2,355","1,218","1,031",755,823
191,94556,"16,428",456,946,"1,692","1,254","1,097",476,475,773,982,"1,491",802,"1,201","1,062",985,882,790,466,598
192,94517,"13,687",635,589,"1,178",900,852,475,515,744,775,"1,095","1,004","1,471","1,070",662,663,517,294,248
193,94019,"20,512",899,982,"1,143","1,404",944,"1,122",675,"1,217","1,516","1,539","1,295","1,989","1,744","1,290","1,301",810,353,289
194,94601,"53,039","3,828","3,363","3,847","3,562","3,815","4,915","4,340","4,692","4,060","3,746","3,008","2,938","2,174","1,923","1,073",766,446,543
195,95061,,,,,,,,,,,,,,,,,,,
196,95063,,,,,,,,,,,,,,,,,,,
197,95067,,,,,,,,,,,,,,,,,,,
198,94570,,,,,,,,,,,,,,,,,,,
199,94575,"1,178",0,0,0,636,496,0,10,0,0,7,2,0,9,7,3,1,0,7
200,94513,"64,313","3,003","4,485","5,543","5,413","3,744","2,979","3,212","3,407","4,580","4,845","4,617","4,785","3,770","3,121","2,253","1,930","1,196","1,430"
201,95017,681,18,47,20,59,4,51,30,16,25,83,40,53,79,42,51,25,11,27
202,95076,"86,905","6,593","6,584","6,921","6,281","7,230","6,156","6,429","5,069","5,181","5,321","5,126","5,006","5,253","3,294","2,584","1,596","1,163","1,118"
203,95019,"7,368",571,442,737,523,894,393,172,332,690,533,443,311,379,317,216,208,146,61
204,94128,,,,,,,,,,,,,,,,,,,
205,94595,"18,117",538,634,385,682,303,449,387,"1,066",416,761,599,751,"1,175","1,497","2,501","1,722","1,747","2,504"
206,94602,"30,162","1,934","1,482","1,697","1,622","1,083","1,895","2,250","2,157","2,509","2,043","2,151","2,342","2,062","1,833","1,299",672,599,532
207,95385,415,35,40,0,0,55,23,54,8,18,26,9,77,47,15,8,0,0,0
208,94505,"16,382",913,913,"1,098","1,510",672,789,795,"1,092","1,182","1,055","1,349","1,418","1,026",877,931,457,186,119
209,94598,"27,831","1,871","1,660","1,459","1,564",877,"1,388","1,394","1,701","1,973","1,821","1,987","1,841","1,953","1,858","1,545","1,016",890,"1,033"
210,94030,"22,625","1,099","1,331","1,171","1,138",967,"1,583","1,264","1,424","1,639","1,627","1,743","1,821","1,499","1,171",868,776,528,976
211,94606,"38,220","1,771","1,821","1,758","1,415","2,150","4,497","4,572","3,325","3,018","2,201","2,533","2,099","2,166","1,746","1,180",799,565,604
212,94596,"21,700",859,"1,050",976,986,"1,347","2,172","2,230","1,507","1,221","1,189","1,278","1,560","1,501","1,068",943,677,614,522
213,95360,"13,278",977,"1,245","1,162","1,094",667,548,"1,302","1,026",875,678,616,847,599,459,501,391,110,181
214,94516,,,,,,,,,,,,,,,,,,,
215,94501,"63,821","3,824","3,573","3,510","2,546","2,990","5,101","5,401","4,635","5,188","5,051","4,072","4,085","4,041","3,214","2,928","1,222","1,151","1,289"
216,94610,"31,936","1,452","1,215","1,270",721,"1,070","3,695","3,708","3,256","2,891","2,378","1,737","1,652","1,928","1,884","1,443",615,494,527
217,95077,,,,,,,,,,,,,,,,,,,
218,94549,"29,795","1,327","2,072","2,518","1,719","1,183","1,363","1,156","1,322","1,874","2,235","2,739","2,589","1,980","1,763","1,740",927,681,607
219,94083,,,,,,,,,,,,,,,,,,,
220,94611,"38,975","1,865","1,826","2,153","1,512","1,090","2,518","2,506","3,487","2,577","3,018","2,789","2,737","3,016","2,674","1,717","1,357",935,"1,198"
221,94018,,,,,,,,,,,,,,,,,,,
222,94617,,,,,,,,,,,,,,,,,,,
223,94604,,,,,,,,,,,,,,,,,,,
224,94614,,,,,,,,,,,,,,,,,,,
225,94620,,,,,,,,,,,,,,,,,,,
226,94622,,,,,,,,,,,,,,,,,,,
227,94623,,,,,,,,,,,,,,,,,,,
228,94624,,,,,,,,,,,,,,,,,,,
229,94649,,,,,,,,,,,,,,,,,,,
230,94659,,,,,,,,,,,,,,,,,,,
231,94660,,,,,,,,,,,,,,,,,,,
232,94661,,,,,,,,,,,,,,,,,,,
233,94666,,,,,,,,,,,,,,,,,,,
234,94612,"15,785",444,157,399,354,981,"2,396","2,370","1,464",918,774,995,751,657,"1,016",611,434,451,613
235,94066,"43,101","2,198","2,267","2,325","2,091","2,475","3,515","3,834","3,458","2,861","3,022","3,282","2,939","2,423","2,396","1,641","1,076",648,650
236,94615,,,,,,,,,,,,,,,,,,,
237,94563,"19,644",748,"1,057","1,614","1,469",554,517,578,789,"1,274","1,758","1,727","1,668","1,453","1,368","1,119",772,440,739
238,94531,"43,022","2,127","2,518","3,245","3,657","3,041","3,139","2,523","2,105","2,905","3,331","3,045","3,304","2,687","1,988","1,343",847,543,674
239,94080,"67,600","3,156","3,341","3,681","3,772","4,185","4,618","5,779","4,933","4,537","4,857","4,515","4,397","4,920","3,815","2,387","1,789","1,280","1,638"
240,94597,"23,108","1,430","1,298","1,068",638,929,"2,416","2,271","2,003","1,636","1,523","1,431","1,485","1,159","1,613","1,065",604,275,264
241,94618,"17,252",882,"1,062",816,859,558,"1,091","1,664","1,179","1,140","1,452","1,193","1,227",911,"1,071",904,621,170,452
242,94609,"23,726","1,270",927,872,621,"1,708","3,672","3,051","2,328","2,055","1,726","1,458","1,121",822,660,591,334,388,122
243,94124,"35,747","2,100","2,297","2,314","1,728","2,104","2,875","3,148","2,772","2,384","2,062","2,249","2,366","2,294","1,794","1,052",800,818,590
244,94005,,,,,,,,,,,,,,,,,,,
245,94607,"26,823","1,196","1,276",973,"1,073","1,617","3,531","3,138","2,642","1,999","1,407","1,439","1,286","1,446","1,138",903,605,432,722
246,94038,"3,450",199,288,242,336,44,123,19,375,272,165,320,204,353,300,141,16,47,6
247,94662,,,,,,,,,,,,,,,,,,,
248,95330,"22,760","1,817","1,752","1,738","1,588","1,656","1,966","2,001","1,367","1,665","1,349","1,238","1,576","1,181",721,398,436,222,89
249,94705,"13,527",486,367,476,678,840,"1,391","1,033",992,756,779,784,982,"1,069",984,709,605,323,273
250,94521,"43,281","2,447","2,525","2,351","2,168","2,438","2,653","3,392","2,648","2,578","2,847","3,321","3,342","2,897","1,961","2,234","1,535",968,976
251,95337,"39,177","2,780","3,279","2,869","2,624","2,589","2,783","2,649","2,490","2,919","3,166","2,732","2,356","2,019","1,085","1,051",635,621,530
252,94518,"28,734","1,718","1,694","1,127","1,355","1,848","2,149","1,618","1,930","2,084","1,754","2,167","2,461","2,028","1,674","1,136",788,512,691
253,94134,"42,418","2,137","2,040","2,135","2,197","2,681","3,173","2,714","3,060","2,713","3,132","3,105","3,398","2,918","2,507","1,374","1,149",908,"1,077"
254,94608,"31,013","1,479",841,913,723,"1,896","4,441","4,738","3,456","2,265","2,119","1,782","1,552","1,430","1,345",845,497,258,433
255,94014,"49,170","2,250","1,945","2,638","2,211","3,664","4,127","4,767","3,299","2,973","2,614","3,297","3,437","3,593","2,630","1,867","1,505","1,183","1,170"
256,94044,"38,984","2,398","1,835","1,940","2,119","1,975","2,875","2,580","2,562","2,441","2,756","3,028","2,975","2,846","2,548","1,735","1,045",735,591
257,94037,"2,504",103,81,31,69,278,0,0,80,125,108,149,250,302,164,364,91,154,155
258,94704,"29,597",115,178,246,"7,809","11,346","3,020","1,650",646,694,400,497,"1,021",448,545,476,177,182,147
259,95004,"4,218",481,287,209,300,218,284,301,220,90,232,208,426,465,149,172,38,77,61
